name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,allergen,allergen_milk,allergen_nuts,allergen_soybeans,allergen_gluten,allergen_eggs,calculated_nutriscore,health_class
Hafer Drink ungesüßt - MyVay - 1pcs,drinks,0.8,6.5,0.0,0.0,12.751875527426158,0.11,Allergens: Gluten,0,0,0,1,0,2,Neutral
Coca cola Soft Drink 750ml,drinks,0.0,10.9,10.6,0.0,12.751875527426158,0.021,Allergens: Gluten,0,0,0,1,0,2,Neutral
Boisson avoine vanille - Bjorg - 1 l,drinks,0.5,6.3,3.6,0.3,12.751875527426158,0.14,Allergens: Gluten,0,0,0,1,0,2,Neutral
Cappuccino viennois - Bellarom - 250 g,drinks,1.3,8.4,6.7,0.9,0.3,0.21,Allergens: Milk,1,0,0,0,0,3,Harmful
Bebida de soja sin azúcares añadidos - Aldi - 1 l,drinks,3.1,1.0,0.7,0.3,0.2,0.1,Allergens: Soybeans,0,0,1,0,0,2,Neutral
Natural Mineral Water - Volvic - 1.5 l,drinks,0.0,0.0,0.0,0.9,12.751875527426158,0.0,Allergens: None,0,0,0,0,0,2,Neutral
Cécémel - 1 L,drinks,3.4,11.7,11.5,1.9,12.751875527426158,0.11,Allergens: Milk,1,0,0,0,0,2,Neutral
Indian Tonic Water - Schweppes,drinks,0.0,4.9,4.9,0.0,12.751875527426158,0.0,Allergens: Milk,1,0,0,0,0,2,Neutral
Mogu Mogu Peach Flavored Drink - 320 ml,drinks,0.0,11.0,11.0,0.0,0.0,0.05,Allergens: Peach,0,0,0,0,0,3,Harmful
Hacendado,drinks,2.4,10.4,10.1,1.1,12.751875527426158,0.21,Allergens: Milk,1,0,0,0,0,2,Neutral
Kefir - Krasnystaw - 1 kg,drinks,3.4,4.7,4.2,1.2,12.751875527426158,0.08,Allergens: Milk,1,0,0,0,0,2,Neutral
Cuidacol natural - Hacendado - 800 g (8 x 100),drinks,3.3,5.2,0.5,0.8,12.751875527426158,0.13,Allergens: Milk,1,0,0,0,0,2,Neutral
Actimel nature sans sucres ajoutes 100 g x 6 - 0.6 kg,drinks,3.6,4.0,4.0,0.9,0.0,0.13,Allergens: Milk,1,0,0,0,0,2,Neutral
Multifruit x 8 - Actimel - 800g,drinks,2.8,13.0,13.0,1.0,0.0,0.1,"Allergens: Milk, Orange, Peach",1,0,0,0,0,3,Harmful
Refreshingly Light Indian Tonic Water - Fever-Tree - 8 x 150 ml,drinks,14.52,41.0,39.0,29.935,20.232014218009482,2.62,"Allergens: Milk, Orange, Peach",1,0,0,0,0,2,Neutral
Fanta - Citron Frappé - 1.25 l,drinks,0.0,6.3,6.3,0.0,0.0,0.0,"Allergens: Milk, Orange, Peach",1,0,0,0,0,3,Harmful
Célébrations - 272 g,drinks,5.5,62.0,55.0,15.0,0.0,0.39,"Allergens: Eggs, Gluten, Milk, Peanuts",1,1,0,1,1,3,Harmful
6111270860011,drinks,12.055957255343081,14.729708803611738,13.901433217189314,11.578162962962963,12.751875527426158,2.62,"Allergens: Eggs, Gluten, Milk, Peanuts",1,1,0,1,1,1,Beneficial
